,Retrieval Success (semantic),Grounding (semantic),F1,Conciseness,Semantic Similarity,Latency (s)
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.7369973599910736,0.7912877440452576,0.4172347917176721,0.5346780203325722,0.8060272783041,2.6883965889612833
std,0.18443618477721402,0.1610872815309553,0.22187530563304544,0.2650003062654781,0.13317781096834608,0.546879890664345
min,0.0,0.0,0.10752688172043011,0.2112676056338028,0.4670870900154114,1.7732441425323486
25%,0.6696006953716278,0.7659567445516586,0.22956810631229238,0.29108053007135576,0.739159494638443,2.29308545589447
50%,0.7560468018054962,0.824980229139328,0.4092191080557025,0.5123456790123457,0.8486178517341614,2.554195523262024
75%,0.8555442243814468,0.8577365875244141,0.5770676691729324,0.71875,0.9090935438871384,3.066880762577057
max,0.9830647706985474,0.9142095446586609,0.9444444444444444,1.2777777777777777,0.9789607524871826,3.9958949089050293
