,Retrieval Success (semantic),Grounding (semantic),F1,Conciseness,Semantic Similarity,Latency (s)
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.7009702304999034,0.7777231375376383,0.43383341738429304,0.6330064169893371,0.8023693839708964,2.6751442432403563
std,0.1929912259342717,0.1661437108407497,0.21647578985670438,0.2892546239149908,0.1329068888910612,2.9138476916623492
min,0.0,0.0,0.11940298507462686,0.23809523809523808,0.48525553941726685,1.5572130680084229
25%,0.6589320749044418,0.7274046838283539,0.2606079151366789,0.4155354449472096,0.7480367720127106,1.8611012697219849
50%,0.7288184762001038,0.8058574795722961,0.40588235294117647,0.6180344478216819,0.8412761688232422,2.155165910720825
75%,0.8361009508371353,0.8638599067926407,0.6045454545454545,0.7383100902378998,0.8842361122369766,2.388558566570282
max,0.9437089562416077,0.9259446859359741,0.9444444444444444,1.4444444444444444,0.9790600538253784,17.967811107635498
