,Retrieval Success (semantic),Grounding (semantic),F1,Conciseness,Semantic Similarity,Latency (s)
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.7156559258699418,0.786124215523402,0.42876309131335616,0.5652388101631035,0.809803984562556,2.5387333075205487
std,0.19187848021412982,0.16198851477789877,0.21280573376564332,0.2581915866397725,0.13224298402344128,0.4285957163826791
min,0.0,0.0,0.1263157894736842,0.20270270270270271,0.46013373136520386,1.8700189590454102
25%,0.6589168906211853,0.7463207691907883,0.2370766488413547,0.3416735028712059,0.7274078875780106,2.2507699131965637
50%,0.7401123642921448,0.8352760672569275,0.40588235294117647,0.5506119326874044,0.8491206765174866,2.511889100074768
75%,0.8381348550319672,0.8564631342887878,0.563076923076923,0.6796428571428572,0.9011146128177643,2.792846381664276
max,0.9437089562416077,0.914465069770813,0.8947368421052632,1.2777777777777777,0.9708200693130493,3.802670955657959
